,Outlet Code,F_2022,M_2022,R_2022,F_2023,M_2023,R_2023,F_2024,M_2024,R_2024,F,M,R,F_Label,M_Label,R_Label
1825,78015828,23.0,4878.8,910.0,10.0,3250.93,543.0,6.0,3488.0899999999997,144.0,-10.5,-576.7750000000001,-582.5,1,1,1
1826,78015835,51.0,20106.06,906.0,86.0,27125.51,542.0,38.0,12142.1,178.0,-30.5,-11473.685,-546.0,1,1,1
1827,78016037,32.0,6995.22,910.0,29.0,6819.27,537.0,17.0,4186.63,174.0,-13.5,-2720.6150000000007,-549.5,1,1,1
1828,78016061,51.0,40470.96,903.0,70.0,58980.36,546.0,26.0,24221.09,167.0,-34.5,-25504.570000000003,-557.5,1,1,1
1829,78016160,43.0,21370.2,864.0,45.0,22362.35,537.0,15.0,5662.48,181.0,-29.0,-16203.795000000002,-519.5,1,1,1
1830,78016172,56.0,20360.66,911.0,77.0,31326.93,546.0,17.0,10500.33,166.0,-49.5,-15343.464999999998,-562.5,1,1,1
1831,78016173,13.0,16418.22,909.0,13.0,22119.02,533.0,2.0,18576.18,95.0,-11.0,-692.4400000000023,-626.0,1,1,1
1832,78016802,17.0,9819.2,907.0,11.0,3672.87,510.0,3.0,816.75,147.0,-11.0,-5929.285,-561.5,1,1,1
1833,78016803,14.0,1360.2,893.0,7.0,629.49,507.0,2.0,250.3,147.0,-8.5,-744.5450000000001,-553.0,1,1,1
1834,78016807,18.0,5543.0,893.0,21.0,10992.11,524.0,1.0,1380.0,132.0,-18.5,-6887.555,-576.5,1,1,1
1835,78016812,15.0,4426.2,903.0,7.0,3813.82,528.0,3.0,568.97,147.0,-8.0,-3551.04,-568.5,1,1,1
1836,78016947,15.0,6472.52,912.0,8.0,4131.44,537.0,3.0,745.75,150.0,-8.5,-4556.23,-574.5,1,1,1
1837,78017032,14.0,6857.5,908.0,7.0,7621.74,544.0,9.0,3424.93,160.0,-1.5,-3814.69,-566.0,1,1,1
1838,78017314,12.0,21603.5,887.0,19.0,38834.310000000005,533.0,13.0,-32.0,171.0,-2.5,-30250.905000000002,-539.0,1,1,1
1839,78017316,22.0,32088.38,912.0,37.0,60365.15,545.0,32.0,27583.27,181.0,2.5,-18643.495,-547.5,0,1,1
1840,78017330,11.0,8534.32,888.0,5.0,5430.84,524.0,13.0,7145.9,167.0,5.0,163.3199999999997,-539.0,0,0,1
1841,78017644,1.0,542.0,884.0,2.0,1550.0700000000002,515.0,2.0,0.0,132.0,0.5,-1046.035,-567.5,0,1,1
1842,78017758,9.0,6604.0,870.0,12.0,11184.53,536.0,9.0,6342.94,166.0,-1.5,-2551.325,-537.0,1,1,1
1843,78017779,12.0,4160.2,875.0,19.0,7629.26,545.0,9.0,1391.6599999999999,152.0,-6.5,-4503.07,-558.0,1,1,1
1844,78018182,2.0,5580.0,861.0,10.0,25769.809999999998,543.0,7.0,5540.62,165.0,1.0,-10134.285,-537.0,0,1,1
1845,78018366,9.0,10423.0,895.0,6.0,13693.74,397.0,5.0,4320.83,126.0,-2.5,-7737.539999999999,-520.0,1,1,1
1846,78018376,10.0,10626.720000000001,894.0,11.0,14814.119999999999,544.0,7.0,4839.459999999999,165.0,-3.5,-7880.960000000001,-554.0,1,1,1
1847,78018418,12.0,16122.48,893.0,13.0,18881.7,537.0,16.0,6312.469999999999,165.0,3.5,-11189.62,-550.0,0,1,1
1848,78018457,21.0,7958.0,912.0,7.0,5807.7699999999995,535.0,4.0,1359.37,161.0,-10.0,-5523.515,-562.5,1,1,1
1849,78018519,15.0,20177.8,895.0,10.0,16453.739999999998,543.0,5.0,10243.6,126.0,-7.5,-8072.169999999996,-593.0,1,1,1
1850,78018525,7.0,8368.0,903.0,9.0,14596.12,492.0,4.0,2829.3399999999997,174.0,-4.0,-8652.720000000001,-523.5,1,1,1
1851,78018529,27.0,7570.1,894.0,4.0,1938.35,547.0,9.0,1502.06,132.0,-6.5,-3252.1650000000004,-588.5,1,1,1
1852,78018553,13.0,7991.6,884.0,10.0,9882.869999999999,534.0,5.0,2706.87,157.0,-6.5,-6230.365000000001,-552.0,1,1,1
1853,78018566,27.0,69653.64,912.0,25.0,55140.82,540.0,7.0,15237.090000000002,166.0,-19.0,-47160.13999999999,-560.0,1,1,1
1854,78018571,6.0,16460.0,883.0,2.0,4086.87,453.0,3.0,4033.74,115.0,-1.0,-6239.695,-553.0,1,1,1
1855,78018947,10.0,6905.4,901.0,2.0,2760.0,473.0,11.0,3116.21,132.0,5.0,-1716.4899999999998,-555.0,0,1,1
1856,78019288,20.0,26959.3,903.0,11.0,11385.28,513.0,6.0,1103.9999999999998,161.0,-9.5,-18068.29,-547.0,1,1,1
1857,78019309,21.0,10010.119999999999,903.0,10.0,3323.6400000000003,529.0,26.0,2016.4100000000003,181.0,10.5,-4650.469999999999,-535.0,0,1,1
1858,78019532,23.0,23671.46,906.0,6.0,19652.7,425.0,29.0,34525.13,169.0,14.5,12863.049999999996,-496.5,0,0,1
1859,78019815,16.0,28213.84,907.0,12.0,15931.21,545.0,47.0,2310.9200000000005,166.0,33.0,-19761.605,-560.0,0,1,1
1860,78019820,5.0,4862.82,886.0,4.0,3336.58,508.0,19.0,167.5,157.0,14.5,-3932.2,-540.0,0,1,1
1861,78020129,4.0,2636.0,883.0,2.0,1003.64,490.0,1.0,55.2,115.0,-2.0,-1764.62,-571.5,1,1,1
1862,78020534,1.0,1.5,761.0,3.0,4932.94,334.0,5.0,3969.74,165.0,3.0,1502.52,-382.5,0,0,1
1863,78020559,23.0,17658.0,861.0,12.0,16748.05,531.0,8.0,7382.11,165.0,-9.5,-9820.915,-531.0,1,1,1
1864,78020572,31.0,16073.7,895.0,8.0,10626.0,541.0,9.0,7100.85,166.0,-10.5,-6249.0,-552.0,1,1,1
1865,78020590,16.0,17905.0,902.0,9.0,12552.69,529.0,10.0,3820.9399999999996,166.0,-2.5,-11407.905000000002,-549.5,1,1,1
1866,78020628,24.0,32838.82,910.0,15.0,16582.38,541.0,11.0,9995.859999999999,166.0,-8.5,-14714.74,-559.5,1,1,1
1867,78020715,6.0,4285.97,818.0,6.0,7489.83,516.0,2.0,566.44,116.0,-4.0,-5321.459999999999,-551.0,1,1,1
1868,78020719,8.0,4683.45,905.0,2.0,414.0,336.0,5.0,1909.5,161.0,0.0,-639.2249999999999,-459.5,0,1,1
1869,78020730,7.0,10464.74,887.0,3.0,4609.2,448.0,4.0,1857.62,173.0,-1.0,-5679.349999999999,-494.5,1,1,1
1870,78020741,9.0,3427.77,904.0,1.0,1326.87,188.0,2.0,0.0,136.0,-3.0,-2377.3199999999997,-410.0,1,1,1
1871,78020762,13.0,3225.2400000000002,891.0,6.0,3243.45,506.0,8.0,29.6,145.0,-1.5,-3204.7450000000003,-553.5,1,1,1
1872,78020766,23.0,4943.0,908.0,15.0,5915.89,543.0,2.0,325.6,111.0,-17.0,-5103.844999999999,-614.5,1,1,1
1873,78020820,7.0,7418.73,900.0,7.0,12888.84,536.0,4.0,3010.99,165.0,-3.0,-7142.795,-553.0,1,1,1
1874,78020822,1.0,1.5,753.0,2.0,2123.0,205.0,1.0,296.0,108.0,-0.5,-766.25,-371.0,1,1,1
